Date,Department,Region,Revenue,Expenses,Patients,Outstanding_AR,Outstanding_AP,Budget,Cash_on_Hand,Profit
2022-01-01 17:29:48.749437471,Emergency,North,9490,2693,7,3741,2645,8123,23510,6797
2022-01-01 18:22:18.186909345,Orthopedics,West,13446,3051,20,7425,5042,9150,15136,10395
2022-01-01 19:14:47.624381219,Neurology,South,9740,3920,93,1986,3992,8532,20775,5820
2022-01-01 20:07:17.061853092,General Surgery,East,10631,5845,50,1234,7635,11815,15660,4786
2022-01-01 20:59:46.499324966,Oncology,South,7182,5167,7,183,4879,8606,14704,2015
2022-01-01 21:52:15.936796839,Emergency,West,2650,7231,7,1943,152,5823,18500,-4581
2022-01-01 22:44:45.374268713,Emergency,North,2033,5623,45,6338,1294,11648,10686,-3590
2022-01-01 23:37:14.811740587,Neurology,West,12944,7746,33,39,1636,7356,12140,5198
2022-01-02 00:29:44.249212460,General Surgery,North,5032,7139,44,702,6222,9718,15355,-2107
2022-01-02 01:22:13.686684334,Oncology,North,9644,2458,23,6596,3512,8449,15916,7186
2022-01-02 02:14:43.124156207,Orthopedics,North,3110,4795,24,1338,1806,8290,9981,-1685
2022-01-02 03:07:12.561628081,Cardiology,South,13473,4410,25,3039,1207,3842,18075,9063
2022-01-02 03:59:41.999099955,Oncology,West,10653,5024,24,6204,6737,3855,19224,5629
2022-01-02 04:52:11.436571828,Neurology,South,10513,7269,96,1715,1572,8895,23470,3244
2022-01-02 05:44:40.874043702,Emergency,West,6510,1562,51,2526,5759,9392,9624,4948
2022-01-02 06:37:10.311515575,Orthopedics,East,3874,7092,95,3818,6208,13647,10301,-3218
2022-01-02 07:29:39.748987449,Oncology,East,5039,7992,48,2083,3360,4153,11553,-2953
2022-01-02 08:22:09.186459322,Cardiology,West,12429,8008,93,1251,2178,12095,24841,4421
2022-01-02 09:14:38.623931196,Cardiology,West,14213,8796,6,542,1328,7395,16692,5417
2022-01-02 10:07:08.061403070,Pediatrics,West,3256,6659,47,7904,6037,10074,10132,-3403
2022-01-02 10:59:37.498874943,Pediatrics,West,12631,7084,61,5242,693,7099,10156,5547
2022-01-02 11:52:06.936346817,Radiology,North,14201,3971,92,2310,6292,13319,12093,10230
2022-01-02 12:44:36.373818690,Neurology,South,5240,1344,23,2170,2157,9165,24775,3896
2022-01-02 13:37:05.811290564,General Surgery,North,6263,7611,94,2265,104,3208,10695,-1348
2022-01-02 14:29:35.248762438,Oncology,South,13494,8124,68,5465,3098,6570,21666,5370
2022-01-02 15:22:04.686234311,Oncology,South,7269,7284,50,275,2435,3185,20949,-15
2022-01-02 16:14:34.123706185,General Surgery,South,12903,3716,45,7265,6258,10950,12066,9187
2022-01-02 17:07:03.561178058,Radiology,North,9717,6660,71,5024,5346,4683,18781,3057
2022-01-02 17:59:32.998649932,Emergency,West,3409,8232,95,3538,2176,4310,24555,-4823
2022-01-02 18:52:02.436121806,Emergency,North,12620,5893,18,5008,6915,10409,22772,6727
2022-01-02 19:44:31.873593679,Radiology,North,3832,2119,24,5604,2486,7420,23885,1713
2022-01-02 20:37:01.311065553,Emergency,South,4024,3262,39,2053,5655,9877,11814,762
2022-01-02 21:29:30.748537426,Pediatrics,East,13538,1742,91,6266,1133,11373,21848,11796
2022-01-02 22:22:00.186009300,Oncology,East,7736,6001,29,1109,2716,10866,15694,1735
2022-01-02 23:14:29.623481174,Radiology,North,6993,6303,8,1765,3605,7853,20116,690
2022-01-03 00:06:59.060953047,Oncology,South,14123,8330,61,7670,3222,10386,9110,5793
2022-01-03 00:59:28.498424921,General Surgery,North,13103,1782,6,3152,6356,11621,23545,11321
2022-01-03 01:51:57.935896794,Cardiology,North,9634,1096,70,7059,6989,7227,16102,8538
2022-01-03 02:44:27.373368668,Pediatrics,West,6957,9778,93,361,2567,7585,24914,-2821
2022-01-03 03:36:56.810840542,Orthopedics,South,14437,7661,91,7593,1849,10363,7176,6776
2022-01-03 04:29:26.248312415,Pediatrics,East,5213,5911,25,2750,3151,13818,15026,-698
2022-01-03 05:21:55.685784289,Radiology,East,12355,3238,93,7934,4578,3294,9566,9117
2022-01-03 06:14:25.123256162,Orthopedics,East,8208,4349,95,4136,3159,4762,17350,3859
2022-01-03 07:06:54.560728036,Cardiology,North,11644,3488,56,5849,2618,13060,13128,8156
2022-01-03 07:59:23.998199910,Radiology,South,8453,4793,79,5467,3161,5339,21731,3660
2022-01-03 08:51:53.435671783,Neurology,West,4753,8817,82,4209,7942,6122,24507,-4064
2022-01-03 09:44:22.873143657,Oncology,East,13093,3837,85,5996,7448,13350,16440,9256
2022-01-03 10:36:52.310615530,Cardiology,South,13263,3386,19,6343,5628,12209,8990,9877
2022-01-03 11:29:21.748087404,Oncology,East,9328,8396,50,5254,6245,11691,21850,932
2022-01-03 12:21:51.185559277,Emergency,West,14238,2841,35,6342,7852,5795,17271,11397
2022-01-03 13:14:20.623031151,Neurology,South,2305,6366,66,156,6361,9563,18286,-4061
2022-01-03 14:06:50.060503025,Neurology,North,3384,9064,38,5442,1279,10802,14143,-5680
2022-01-03 14:59:19.497974898,Cardiology,North,5367,5769,40,6031,6809,4381,10823,-402
2022-01-03 15:51:48.935446772,Neurology,East,3574,9921,48,1534,5277,7223,17634,-6347
2022-01-03 16:44:18.372918645,Orthopedics,East,2872,1316,67,7473,193,8422,18905,1556
2022-01-03 17:36:47.810390519,Neurology,South,10360,8453,81,849,379,9459,24072,1907
2022-01-03 18:29:17.247862393,Oncology,West,7578,1075,22,4139,4330,9084,6619,6503
2022-01-03 19:21:46.685334266,Oncology,East,11795,6069,85,5836,6196,11703,9263,5726
2022-01-03 20:14:16.122806140,Radiology,South,3030,1203,49,3870,6856,11581,17188,1827
2022-01-03 21:06:45.560278013,Oncology,West,9764,8895,43,6466,678,13123,7436,869
2022-01-03 21:59:14.997749887,Radiology,East,11926,7567,96,221,619,3934,6944,4359
2022-01-03 22:51:44.435221761,Oncology,East,8731,8460,30,2306,2954,7211,12877,271
2022-01-03 23:44:13.872693634,Orthopedics,South,8905,4775,82,601,6094,5631,23299,4130
2022-01-04 00:36:43.310165508,General Surgery,East,6442,9078,79,7617,2699,4873,23892,-2636
2022-01-04 01:29:12.747637381,Radiology,North,5667,7924,28,4710,1663,4681,5592,-2257
2022-01-04 02:21:42.185109255,Pediatrics,West,3276,8580,62,993,3554,6913,15397,-5304
2022-01-04 03:14:11.622581129,Emergency,West,8553,6558,99,7525,6321,10365,15278,1995
2022-01-04 04:06:41.060053002,Cardiology,North,2542,5355,54,2764,2103,5820,9089,-2813
2022-01-04 04:59:10.497524876,Oncology,South,10546,4051,76,6986,423,9252,15699,6495
2022-01-04 05:51:39.934996749,Neurology,North,6808,3663,43,7012,1902,4110,15775,3145
2022-01-04 06:44:09.372468623,General Surgery,North,14228,9623,76,1286,3983,13328,10634,4605
2022-01-04 07:36:38.809940497,Oncology,West,9731,8384,35,4074,4272,9008,15430,1347
2022-01-04 08:29:08.247412370,Neurology,South,13631,4162,87,4122,3359,12516,6418,9469
2022-01-04 09:21:37.684884244,Emergency,East,2583,9389,40,1030,6737,10966,18209,-6806
2022-01-04 10:14:07.122356117,Emergency,North,2510,6078,43,5383,3444,13621,10616,-3568
2022-01-04 11:06:36.559827991,Emergency,North,8676,1038,25,2403,2476,12874,14865,7638
2022-01-04 11:59:05.997299865,Neurology,South,8671,9920,27,6697,212,8603,18786,-1249
2022-01-04 12:51:35.434771738,Oncology,North,11138,4165,58,5340,3535,13353,23056,6973
2022-01-04 13:44:04.872243612,Emergency,South,9695,5779,40,3924,3398,11482,10081,3916
2022-01-04 14:36:34.309715485,Orthopedics,East,5473,7186,19,5273,2948,8247,23115,-1713
2022-01-04 15:29:03.747187359,Radiology,South,3198,3124,6,6716,2431,8948,8588,74
2022-01-04 16:21:33.184659233,Neurology,East,13063,8399,80,275,171,6912,12012,4664
2022-01-04 17:14:02.622131106,Neurology,South,5995,5134,74,220,6312,4847,24471,861
2022-01-04 18:06:32.059602980,Oncology,North,14113,7294,42,5710,1632,6873,23764,6819
2022-01-04 18:59:01.497074853,Neurology,East,14365,4771,69,7254,6878,13912,9881,9594
2022-01-04 19:51:30.934546727,Neurology,North,6535,6538,54,7758,340,5771,21676,-3
2022-01-04 20:44:00.372018600,Emergency,East,7871,4257,94,50,5314,13545,16016,3614
2022-01-04 21:36:29.809490474,Oncology,South,5303,7461,91,841,5065,10897,5669,-2158
2022-01-04 22:28:59.246962348,Emergency,South,4447,6388,5,4335,7114,11126,10686,-1941
2022-01-04 23:21:28.684434221,Radiology,South,13476,8900,25,3443,4245,4706,9881,4576
2022-01-05 00:13:58.121906095,General Surgery,West,11408,2244,61,127,4496,3960,23599,9164
2022-01-05 01:06:27.559377968,Radiology,West,9739,1657,23,2845,7409,13354,9901,8082
2022-01-05 01:58:56.996849842,General Surgery,East,8844,2699,33,2276,1624,10255,22420,6145
2022-01-05 02:51:26.434321716,Emergency,West,3290,5456,54,1370,4968,9668,23556,-2166
2022-01-05 03:43:55.871793589,Radiology,South,14413,7068,94,3984,6107,7027,13222,7345
2022-01-05 04:36:25.309265463,Oncology,West,7834,9047,38,6338,689,12568,18567,-1213
2022-01-05 05:28:54.746737336,Cardiology,West,9549,6963,85,4039,1747,3636,13511,2586
2022-01-05 06:21:24.184209210,Emergency,North,8687,7235,86,100,6109,10855,12242,1452
2022-01-05 07:13:53.621681084,General Surgery,East,10693,5535,58,7472,4254,5108,6927,5158
2022-01-05 08:06:23.059152957,Orthopedics,East,13063,8273,36,3075,7052,7414,7520,4790
2022-01-05 08:58:52.496624831,General Surgery,East,9428,2976,8,4055,4041,4976,8703,6452
2022-01-05 09:51:21.934096704,Orthopedics,West,2386,8937,34,6940,2098,8796,14246,-6551
2022-01-05 10:43:51.371568578,Neurology,South,10603,4669,99,4807,1783,10514,21525,5934
2022-01-05 11:36:20.809040452,Radiology,North,4006,5192,22,4257,3872,6715,5056,-1186
2022-01-05 12:28:50.246512325,Orthopedics,East,7213,1937,73,7407,2920,6779,21599,5276
2022-01-05 13:21:19.683984199,General Surgery,West,4147,6596,33,4488,19,12447,15061,-2449
2022-01-05 14:13:49.121456072,Neurology,South,5868,2289,16,5305,6319,8486,13446,3579
2022-01-05 15:06:18.558927946,Cardiology,North,11530,5670,19,1104,973,4853,5990,5860
2022-01-05 15:58:47.996399820,Oncology,North,8037,3150,83,7753,2939,4295,12445,4887
2022-01-05 16:51:17.433871693,Oncology,East,8637,8421,57,3991,71,13278,18410,216
2022-01-05 17:43:46.871343567,Oncology,East,2352,9704,39,5815,7111,10998,8543,-7352
2022-01-05 18:36:16.308815440,Orthopedics,South,6964,2516,56,4844,2789,6943,17969,4448
2022-01-05 19:28:45.746287314,Cardiology,West,5188,2404,57,1749,2011,8713,6654,2784
2022-01-05 20:21:15.183759188,Orthopedics,South,3302,5492,18,2128,2377,9927,5985,-2190
2022-01-05 21:13:44.621231061,Radiology,East,9749,7170,22,3806,3704,8806,19788,2579
2022-01-05 22:06:14.058702935,Orthopedics,South,2846,3353,42,7019,999,13718,19271,-507
2022-01-05 22:58:43.496174808,Cardiology,West,9521,1580,90,5820,1677,5070,11024,7941
2022-01-05 23:51:12.933646682,Cardiology,North,10717,4329,42,200,61,7727,10671,6388
2022-01-06 00:43:42.371118555,Radiology,North,4524,9293,59,4046,6322,12593,19297,-4769
2022-01-06 01:36:11.808590429,Cardiology,North,3878,5550,15,702,5837,5423,22112,-1672
2022-01-06 02:28:41.246062303,General Surgery,North,6105,3963,71,4777,7294,6183,6935,2142
2022-01-06 03:21:10.683534176,Cardiology,East,5630,1298,57,882,5829,8049,16291,4332
2022-01-06 04:13:40.121006050,Oncology,East,9670,5116,82,6365,3169,8825,9283,4554
2022-01-06 05:06:09.558477923,General Surgery,West,8667,1044,48,6160,126,10480,7971,7623
2022-01-06 05:58:38.995949797,General Surgery,West,14001,8647,29,3782,3664,10114,17695,5354
2022-01-06 06:51:08.433421671,Radiology,West,4819,3543,66,4333,7572,10684,22046,1276
2022-01-06 07:43:37.870893544,Pediatrics,West,7979,4859,18,6892,6652,5957,13657,3120
2022-01-06 08:36:07.308365418,Pediatrics,South,13099,5778,51,6489,7910,9696,21225,7321
2022-01-06 09:28:36.745837291,Cardiology,West,13269,5394,99,1268,1883,4202,11961,7875
2022-01-06 10:21:06.183309165,General Surgery,North,10077,4552,93,2497,5925,3036,11786,5525
2022-01-06 11:13:35.620781039,Pediatrics,North,14022,4155,59,1327,5262,9535,8942,9867
2022-01-06 12:06:05.058252912,Pediatrics,North,11250,1287,87,7900,3619,5184,20260,9963
2022-01-06 12:58:34.495724786,Cardiology,South,4489,4705,16,5232,2787,9539,10461,-216
2022-01-06 13:51:03.933196659,Pediatrics,West,13840,1516,11,7621,4104,5836,15842,12324
2022-01-06 14:43:33.370668533,Orthopedics,North,7688,3201,53,2464,2795,12389,24244,4487
2022-01-06 15:36:02.808140407,Neurology,North,5264,7577,18,5925,2786,10393,10991,-2313
2022-01-06 16:28:32.245612280,Radiology,North,8023,9102,33,4352,5434,10705,24795,-1079
2022-01-06 17:21:01.683084154,Neurology,North,13793,4658,51,2102,1260,12469,11948,9135
2022-01-06 18:13:31.120556027,Cardiology,East,4293,7922,18,6582,7505,3117,23337,-3629
2022-01-06 19:06:00.558027901,Oncology,West,2674,5286,91,1161,5941,5200,12247,-2612
2022-01-06 19:58:29.995499775,Radiology,West,12070,4936,55,5491,144,10229,10780,7134
2022-01-06 20:50:59.432971648,Cardiology,South,8257,1990,18,7990,6737,9172,16534,6267
2022-01-06 21:43:28.870443522,General Surgery,East,3011,5971,91,1630,7683,9241,14228,-2960
2022-01-06 22:35:58.307915395,Oncology,South,10985,8721,12,3196,6136,6090,21412,2264
2022-01-06 23:28:27.745387269,Neurology,North,2232,2851,81,23,5103,13417,12864,-619
2022-01-07 00:20:57.182859143,Cardiology,South,5027,9189,69,7623,5715,12541,10923,-4162
2022-01-07 01:13:26.620331016,General Surgery,North,5609,3709,41,6939,4089,13899,15027,1900
2022-01-07 02:05:56.057802890,Radiology,North,4173,5007,94,91,1548,6023,11666,-834
2022-01-07 02:58:25.495274763,Radiology,West,5384,3621,72,495,1994,13848,18578,1763
2022-01-07 03:50:54.932746637,Emergency,West,14798,3178,20,3435,626,9024,9944,11620
2022-01-07 04:43:24.370218510,General Surgery,West,4328,1838,93,2610,5418,3341,14024,2490
2022-01-07 05:35:53.807690384,Orthopedics,West,2797,5934,87,7037,4064,9433,8411,-3137
2022-01-07 06:28:23.245162258,Pediatrics,West,9121,9104,24,4013,475,10150,17346,17
2022-01-07 07:20:52.682634131,Oncology,East,5684,8338,94,2759,2311,9994,8441,-2654
2022-01-07 08:13:22.120106005,General Surgery,West,6487,2168,71,7324,6890,11936,9706,4319
2022-01-07 09:05:51.557577878,Emergency,South,9690,8348,75,3730,403,4316,22677,1342
2022-01-07 09:58:20.995049752,Pediatrics,North,14669,1947,36,6236,4218,13307,22442,12722
2022-01-07 10:50:50.432521626,Pediatrics,West,4589,1160,73,4474,5329,12547,5514,3429
2022-01-07 11:43:19.869993499,Cardiology,East,6701,3627,89,2766,4294,8728,10823,3074
2022-01-07 12:35:49.307465373,Pediatrics,South,14403,3535,34,6622,3388,10218,14712,10868
2022-01-07 13:28:18.744937246,Orthopedics,South,10700,3272,24,5124,555,10226,15724,7428
2022-01-07 14:20:48.182409120,Radiology,North,9667,4463,62,4528,5600,3958,21322,5204
2022-01-07 15:13:17.619880994,Emergency,South,8414,5804,33,1115,1202,12854,17893,2610
2022-01-07 16:05:47.057352867,Pediatrics,South,3463,1160,28,310,3513,8724,8676,2303
2022-01-07 16:58:16.494824741,Cardiology,South,13554,2784,5,2093,7626,13717,24472,10770
2022-01-07 17:50:45.932296614,Orthopedics,South,5110,7598,93,7310,3967,5227,9856,-2488
2022-01-07 18:43:15.369768488,Neurology,East,3047,4182,31,4857,1140,13768,5920,-1135
2022-01-07 19:35:44.807240362,Radiology,North,6871,4624,93,5575,2806,3546,10206,2247
2022-01-07 20:28:14.244712235,Radiology,West,7289,9958,25,4067,1437,8165,22116,-2669
2022-01-07 21:20:43.682184109,Emergency,South,6435,3027,21,2271,1890,11099,23819,3408
2022-01-07 22:13:13.119655982,Radiology,East,10360,9376,96,6310,3564,9629,22979,984
2022-01-07 23:05:42.557127856,Pediatrics,North,3561,2896,36,5094,7507,6114,8838,665
2022-01-07 23:58:11.994599730,Cardiology,West,9859,3404,48,4501,612,4755,14788,6455
2022-01-08 00:50:41.432071603,Radiology,North,8805,3539,26,2365,7689,10256,13389,5266
2022-01-08 01:43:10.869543477,Radiology,East,9812,1732,46,1220,3805,12175,5798,8080
2022-01-08 02:35:40.307015350,Neurology,East,8286,1577,87,1865,4497,11498,5968,6709
2022-01-08 03:28:09.744487224,Neurology,East,9843,3161,66,4083,6523,4365,19460,6682
2022-01-08 04:20:39.181959098,Oncology,South,13364,9569,52,6814,280,4361,15202,3795
2022-01-08 05:13:08.619430971,Orthopedics,East,2574,4848,12,5028,7647,10351,24317,-2274
2022-01-08 06:05:38.056902845,Pediatrics,West,11934,2308,6,662,5734,5101,8543,9626
2022-01-08 06:58:07.494374718,Radiology,South,14762,1841,9,5855,161,10311,17660,12921
2022-01-08 07:50:36.931846592,General Surgery,North,6016,3171,32,5847,43,4346,19997,2845
2022-01-08 08:43:06.369318466,Radiology,West,12550,9347,8,1923,6389,10936,13753,3203
2022-01-08 09:35:35.806790339,Cardiology,South,9227,7253,57,5108,4006,5657,13894,1974
2022-01-08 10:28:05.244262213,Oncology,East,6024,4385,5,3370,5598,12708,12354,1639
2022-01-08 11:20:34.681734086,Orthopedics,North,10722,5821,83,1061,2523,5969,14682,4901
2022-01-08 12:13:04.119205960,General Surgery,East,2990,6813,81,7822,1625,7077,20263,-3823
2022-01-08 13:05:33.556677833,Oncology,West,4120,2413,99,5130,7019,11635,17299,1707
2022-01-08 13:58:02.994149707,Emergency,West,6964,1044,85,3352,7363,8613,15501,5920
2022-01-08 14:50:32.431621581,Orthopedics,South,4441,2686,10,1433,3242,11739,6055,1755
2022-01-08 15:43:01.869093454,Radiology,West,7877,6236,92,5621,1939,6080,16399,1641
2022-01-08 16:35:31.306565328,Radiology,North,12720,7625,59,4646,5447,10072,23338,5095
2022-01-08 17:28:00.744037201,Orthopedics,South,4520,3725,56,2103,1793,11501,13014,795
2022-01-08 18:20:30.181509075,Radiology,North,6408,9009,81,4018,6257,12411,15203,-2601
2022-01-08 19:12:59.618980949,Pediatrics,East,11653,5014,89,2916,2545,6397,24989,6639
2022-01-08 20:05:29.056452822,Orthopedics,North,2951,6780,28,7523,7322,13855,22197,-3829
2022-01-08 20:57:58.493924696,Oncology,North,2964,5595,66,6048,1825,5764,12688,-2631
2022-01-08 21:50:27.931396569,Orthopedics,West,4134,9265,60,4207,822,4352,15794,-5131
2022-01-08 22:42:57.368868443,General Surgery,East,6454,4018,90,3435,7331,6634,18503,2436
2022-01-08 23:35:26.806340317,Radiology,West,10886,7292,97,4243,468,12597,19408,3594
2022-01-09 00:27:56.243812190,Pediatrics,East,4244,2560,28,6641,1991,8777,6218,1684
2022-01-09 01:20:25.681284064,Pediatrics,East,4803,1472,80,1331,2262,9169,9593,3331
2022-01-09 02:12:55.118755937,Emergency,North,5911,6435,24,2593,2666,10638,17242,-524
2022-01-09 03:05:24.556227811,Oncology,West,13216,3217,38,1324,2887,13429,6219,9999
2022-01-09 03:57:53.993699685,Neurology,North,3408,9892,19,7499,6212,8508,7379,-6484
2022-01-09 04:50:23.431171558,Neurology,North,7237,1052,55,6755,5223,12646,16617,6185
2022-01-09 05:42:52.868643432,Orthopedics,North,6593,3987,8,6915,320,10207,7010,2606
2022-01-09 06:35:22.306115305,Emergency,East,13170,9330,57,4876,6013,4863,18000,3840
2022-01-09 07:27:51.743587179,Cardiology,West,10051,3137,18,58,7764,7878,23680,6914
2022-01-09 08:20:21.181059053,Orthopedics,West,10653,1827,69,6466,939,5450,22623,8826
2022-01-09 09:12:50.618530926,Emergency,North,9663,9164,37,5556,2346,4890,13597,499
2022-01-09 10:05:20.056002800,Oncology,East,11809,2248,54,2552,3145,3164,18501,9561
2022-01-09 10:57:49.493474673,Oncology,West,9113,5835,67,5520,5569,6275,23916,3278
2022-01-09 11:50:18.930946547,Oncology,South,10142,9377,54,4550,6420,4871,6121,765
2022-01-09 12:42:48.368418421,Oncology,West,8377,4442,97,377,4540,10103,11554,3935
2022-01-09 13:35:17.805890294,Oncology,North,10608,8402,78,4652,140,12703,19491,2206
2022-01-09 14:27:47.243362168,Emergency,South,7601,4193,40,6446,7275,3340,14574,3408
2022-01-09 15:20:16.680834041,Emergency,East,3388,5928,82,1229,881,6708,9241,-2540
2022-01-09 16:12:46.118305915,Pediatrics,South,8296,8596,90,5983,1525,12555,9833,-300
2022-01-09 17:05:15.555777788,General Surgery,South,6367,3916,96,6767,1051,4851,11005,2451
2022-01-09 17:57:44.993249662,Neurology,North,14679,5537,75,752,4253,7217,17677,9142
2022-01-09 18:50:14.430721536,Radiology,West,12786,8051,54,1433,3153,9321,12963,4735
2022-01-09 19:42:43.868193409,Oncology,East,11938,6645,45,7070,5225,6989,8904,5293
2022-01-09 20:35:13.305665283,Cardiology,South,13693,5261,74,4975,5761,12515,5338,8432
2022-01-09 21:27:42.743137156,Radiology,North,13051,2935,31,3195,825,9688,24089,10116
2022-01-09 22:20:12.180609030,Emergency,West,5978,9041,34,7838,5330,4627,9325,-3063
2022-01-09 23:12:41.618080904,Cardiology,South,6490,5538,36,5583,5113,5535,8504,952
2022-01-10 00:05:11.055552777,Cardiology,North,14949,5426,87,4411,2068,6826,14091,9523
2022-01-10 00:57:40.493024651,Cardiology,North,2852,2358,26,1536,1369,4745,6117,494
2022-01-10 01:50:09.930496524,Pediatrics,North,13482,2769,89,7341,5293,9650,8699,10713
2022-01-10 02:42:39.367968398,Emergency,East,8377,2192,73,7969,2264,5169,14623,6185
2022-01-10 03:35:08.805440272,Cardiology,West,11903,3816,25,5337,4946,3883,22866,8087
2022-01-10 04:27:38.242912145,Oncology,South,8501,7267,60,6837,6680,10100,10350,1234
2022-01-10 05:20:07.680384019,Orthopedics,West,12717,8025,88,1722,4584,7778,19024,4692
2022-01-10 06:12:37.117855892,Cardiology,West,13838,5856,35,605,2360,5535,23826,7982
2022-01-10 07:05:06.555327766,Pediatrics,South,10114,6217,63,4136,6803,12650,12375,3897
2022-01-10 07:57:35.992799640,Radiology,West,12222,2042,74,7218,7161,3630,11542,10180
2022-01-10 08:50:05.430271513,Emergency,East,10428,6243,99,3588,6917,11184,22118,4185
2022-01-10 09:42:34.867743387,General Surgery,South,3056,9417,47,4439,3857,8010,17178,-6361
2022-01-10 10:35:04.305215260,Pediatrics,South,4260,7755,92,7049,6832,5877,6980,-3495
2022-01-10 11:27:33.742687134,Cardiology,North,12618,7467,58,4773,5073,3424,23122,5151
2022-01-10 12:20:03.180159008,Emergency,West,11217,4977,22,5026,3987,8967,7539,6240
2022-01-10 13:12:32.617630881,Orthopedics,South,2908,2883,59,3777,4966,5302,6981,25
2022-01-10 14:05:02.055102755,Cardiology,South,2449,1540,33,7132,4257,13123,17386,909
2022-01-10 14:57:31.492574628,Pediatrics,East,2568,9837,65,658,1417,9275,5707,-7269
2022-01-10 15:50:00.930046502,Neurology,North,5498,6085,55,2725,288,6083,14041,-587
2022-01-10 16:42:30.367518376,Oncology,South,13052,5801,80,1460,3698,12626,23510,7251
2022-01-10 17:34:59.804990249,General Surgery,East,12518,5726,16,6519,5046,3013,23422,6792
2022-01-10 18:27:29.242462123,Radiology,South,14501,8022,97,6377,3986,6087,19709,6479
2022-01-10 19:19:58.679933996,Pediatrics,South,7870,2688,65,6705,7361,6060,20231,5182
2022-01-10 20:12:28.117405870,Emergency,South,3308,7634,75,1357,7214,4116,23168,-4326
2022-01-10 21:04:57.554877743,General Surgery,East,2717,1404,20,859,2736,4419,5478,1313
2022-01-10 21:57:26.992349617,General Surgery,West,11161,4343,16,2721,6082,5484,20546,6818
2022-01-10 22:49:56.429821491,General Surgery,South,5345,8811,66,4995,29,7096,8409,-3466
2022-01-10 23:42:25.867293364,Cardiology,South,9214,8018,89,3132,5606,10943,13655,1196
2022-01-11 00:34:55.304765238,Oncology,West,9682,9711,72,5998,210,6959,15074,-29
2022-01-11 01:27:24.742237111,Cardiology,South,12677,2407,64,1880,4564,4624,14971,10270
2022-01-11 02:19:54.179708985,Emergency,North,13847,8030,85,3572,2362,5786,23582,5817
2022-01-11 03:12:23.617180859,Cardiology,South,4718,8359,32,5878,2805,4157,5974,-3641
2022-01-11 04:04:53.054652732,Neurology,North,11095,5530,68,2294,1515,9140,19381,5565
2022-01-11 04:57:22.492124606,Oncology,West,11642,8928,99,3013,3021,7798,7904,2714
2022-01-11 05:49:51.929596479,Oncology,East,3455,5067,76,731,6430,12210,14389,-1612
2022-01-11 06:42:21.367068353,Emergency,West,9297,7206,54,2405,4372,5169,18982,2091
2022-01-11 07:34:50.804540227,Radiology,South,9035,3181,30,392,5392,3520,5589,5854
2022-01-11 08:27:20.242012100,Neurology,North,6230,4232,44,691,7165,6379,13312,1998
2022-01-11 09:19:49.679483974,Pediatrics,East,2531,9616,59,2385,2996,5520,15867,-7085
2022-01-11 10:12:19.116955847,Cardiology,South,4267,2551,35,4086,4530,6893,14280,1716
2022-01-11 11:04:48.554427721,Orthopedics,East,2332,1357,87,7070,407,5021,8868,975
2022-01-11 11:57:17.991899595,Cardiology,East,7249,2594,75,2901,2276,8198,13132,4655
2022-01-11 12:49:47.429371468,General Surgery,South,9199,6128,9,5187,7400,6893,7258,3071
2022-01-11 13:42:16.866843342,Cardiology,West,7721,9388,17,3232,6753,5175,16733,-1667
